id,tweet,fake,real
42,football player cristiano ronaldo turned hotel hospital help coronavirus patient paying doctor staff,1,0
43,including testing asymptomatic worker involved managed isolation quarantine airport border staff this part wider surveillance measure expected operational early july,0,1
44,i want national lockdown again if coronavirus continues progress uk pm say govt take further measure insists want second national lockdown read here url url,0,1
45,our daily update published state reported number k test number k case number death url,0,1
46,india fight corona new recovery india exceeded new case number consecutive day co vid number url,0,1
47,the top number state high active caseload also one presently reporting high level recovery url,0,1
48,there currently number people managed isolation quarantine our current effective capacity number this give u excess capacity number over next week projecting number arrival number departure facility,0,1
49,school struggling cope lack co vid number test new infection increasing since became compulsory pupil return but get child tested virus here explainer,0,1
50,scientist astrazeneca complain work coronavirus vaccine keep delayed noddy holder ringing ask ready christmas url,1,0
51,mask help prevent spread co vid number widely used public when wear mask help protect around you when others wear one help protect people around incl you url wear mask part world mask week url,0,1
52,number new case co vid number nigeria lagos number gombe number plateau number kwara number enugu number ogun number katsina number ekiti number bauchi number osun number river number number confirmed number discharged number death url,0,1
53,did you already have coronavirus here s a simple test url,1,0
54,rt user india fight corona with high number sustained recovery india surge ahead highest single day recovery near l,0,1
55,italy surrendered coronavirus pandemic measure control co vid number exhausted,1,0
56,president trump ha been forced wear protective medical mask url donald trump coronavirus cia fbi iud,1,0
57,rt user coronavirus misinformation moving offline a reddit user posted flyer site told u de live,1,0
58,orwell dead living bridge continued url government toilet paper george orwell coronavirus,1,0
59,resident york asked think new government rule allows people england may co vid number fined number fail self isolate to read click here url url,0,1
60,central government given permission school reopen,1,0
61,a today total number user approved lab co vid number testing these consist number govt number pvt lab url co vid testing co vid number co vid co vid number co vid number co vid number india co vid update coronavirus corona update coronavirus india url,0,1
62,the government come pressure lack availability co vid number test read here url url,0,1
63,fewer kid dying since lockdown a new white paper examines why,1,0
64,more number million case co vid number reported who almost number death although country affected continue see intense transmission relatively small group country user,0,1
65,justin trudeau resigns amidst coronavirus pandemic url,1,0
66,george soros one people responsible new coronavirus born laboratory,1,0
67,user the sensitivity test definitely something specialist talking about i seen real number i also haven t looked hard we ve thing user,0,1
68,expert call out claim that cow dung urine yoga ayu sh can prevent or treat co vid number,1,0
69,the main mode transmission novel coronavirus droplet possible infected smoker may blow droplet carrying virus exhale regardless co vid number steer clear secondhand smoke may cause various health problem url,0,1
70,an article claiming bill gate vaccine would modify human dna,1,0
71,rt user dyk handwashing remains one best way prevent spread virus like co vid number here number thing to,0,1
72,according state health department haryana co vid number recovery rate guru gram number url co vid number co vid number co vid number corona update coronavirus india coronavirus update coronavirus co vid update url,0,1
73,our daily update published sunday monday tend see number dip and see today still number k case rising hospitalization large jump death last sunday s holiday number the number day average back number url,0,1
74,our total number confirmed case co vid number number number report world health organization,0,1
75,braza ilian parliament went hospital take co vid number patient found empty,1,0
76,multiple post shared thousand time facebook twitter youtube claim salt effective remedy novel coronavirus,1,0
77,un secretary general antonio guterres say co vid number pandemic dramatically derailed sustainable development goal put question progress made eradication poverty hunger latest world news url url,0,1
78,an insta gram post claiming co vid number test tainted coronavirus circulation many month,1,0
79,across number state report tracked number hospitalization bulk new york but louisiana florida also growing number hospitalization,0,1
80,philippine senator grace poe risa h ontiveros silent coronavirus crisis vocal closure ab cbn,1,0
81,india fight corona india s total recovery continue rise cross number lakh today number state contribute number total case number active case number total fatality reported india stay safe india win url,0,1
82,the important consequence seeing co vid number syn demic underline social origin the vulnerability older citizen black asian minority ethnic community key worker commonly poorly paid fewer welfare protection repeat,1,0
83,rt user india fight corona user scale co vid number testing capacity number lakh test per day country a to ta,0,1
84,a video show italian doctor say nobody died coronavirus italy dangerous flu,1,0
85,seasonal influenza vaccination mandatory georgia fall co vid number mortality rate significantly lower fatality caused virus,1,0
86,we say number case mt roskill evangelical fellowship group number case bereavement sub cluster includes case whose source infection bereavement event,0,1
87,there one new zealand receiving hospital level care co vid number yesterday laboratory completed number test bringing total number test completed date number co vid number co vid number nz co vid number,0,1
88,a number pm number th april breakdown case state is lagos number fct number kano number osun number oyo number edo number ogun number kwara number katsina number bauchi number kaduna number akwa ibom number delta number ekiti number on do number enugu number river number niger number benue number anambra number borno number jig awa number,0,1
89,the biggest change data number co vid number patient currently hospitalized with addition florida s number k hospitalization we re number we seen number since first week may and seem likely decline soon url,0,1
90,coronavirus update co vid number india tracker a number september number number am confirmed case number recover e smile number number active case number number death number number india fight corona india win stay safe via user url,0,1
91,there person coronavirus galicia number number number,1,0
92,india tested number lakh sample day co vid number this enabled user s commitment set number laboratory expanding testing mechanism for detail visit url icmr fight co vid number india fight corona user url,0,1
93,claim jordanian health minister say co vid number conspiracy video,1,0
94,pregnant woman co vid number higher rate premature birth url,0,1
95,user solidarity trial also underway many country once project complete controlling co vid number effectively easier due availability proper medicine vaccine etc control various infectious disease across world,0,1
96,co vid number update there new case co vid number report new zealand today it number day since last case co vid number acquired locally unknown source,0,1
97,compare number completed test reported new mexico state population number time smaller california s these number even close yet are url,0,1
98,all number case community auckland based all connected existing outbreak close contact case already reported number new case household contact previously reported case still investigation gp mt wellington,0,1
99,a precautionary message one catch fire due hand sanitizer high amount alcohol the message also show hand lady applying sanitizer went near stove ended burning hand,1,0
100,that brings new zealand s total number active case number managed isolation quarantine facility there case community nzs total number confirmed case co vid number number number report who,0,1
101,say rudy giuliani bought number m share novartis primary supplier hydroxychloroquine early february,1,0
102,a student pondicherry university india found home remedy co vid number accepted world health organization who,1,0
103,footballer ronaldo turning hotel co vid number hospital,1,0
104,coronavirus update india record highest ever single day peak number co vid number recovery india fight corona total recovery cross number lakh recovery exceed active case number lakh url url,0,1
105,do cough fever runny nose if symptom came suddenly there s good chance could flu watch find next fight flu url,0,1
106,president trump say panda are responsible for co vid number url donald trump china coronavirus zoo panda,1,0
107,a today number active co vid number case mumbai district maharastra url user user user user co vid number co vid number co vid number corona update india coronavirus coronavirus update coronavirus pandemic url,0,1
108,public health england weekly coronavirus report show rise almost number rhinovirus infection include common cold last week url,0,1
109,this image suspected coronavirus vaccine causing co vid number,1,0
110,some people likely others become severely ill co vid number mean may require hospitalization intensive care ventilator help breathe some severely ill people may die learn more url url,0,1
111,camila pi tanga brazilian actress contracted co vid number said caught malaria could take chloroquine without admitting wrong,1,0
112,the new coronavirus cause sudden death syndrome,1,0
113,india fight corona increasing gap co vid number recovered active case india may number number september number number stay safe india win url,0,1
114,coronavirus party deadly consequence url,0,1
115,cabinet office minister michael gove say there going shift emphasis working home new co vid number restriction kay burley get latest coronavirus news url url,0,1
116,user well reporting quite effectively it refuse put number table dashboard reason beyond me,0,1
117,looking number like yesterday one state california drove huge increase this number seems much solid driven number state reporting large number test completed,0,1
118,india lost number individual coronavirus till date in view rising coronavirus case bihar government extends lockdown state till number september at nationalist congress party chief sharad pawar s residence four people tested positive coronavirus url,1,0
119,bill gate profit vaccination want reduce world population,1,0
120,india fight corona user held virtual meeting today state ut ensure adequate oxygen availability healthcare facility unrestricted intra well inter state movement oxygen read detail url stay safe india win url,0,1
121,hcps attend next coca call tuesday aug number number pm et via zoom topic co vid number telehealth implementation story field learn more url co vid number url,0,1
122,how healthy number year old boy lost life co vid number number day url,0,1
123,an important part work data collection analysis at number pm every day data team collates result received testing laboratory inform nigerian number new co vid number case result received time reported next day url,0,1
124,finally launched first real version co vid racial data tracker partnership user user this major effort project volunteer and hope useful community across country url,0,1
125,acc user incubation period co vid number time exposure novel coronavirus becoming infected symptom onset number number day with median estimate number number day long number day coronavirus co vid number co vid number url,0,1
126,nasal flu vaccine side effect cause co vid,1,0
127,today s case bring combined total confirmed probable co vid number case number we number people reported recovered today two people hospital one middle more north shore hospital neither icu,0,1
128,new publication co vid number pandemic could cause hiv treatment interruption allow increase new infection program plan avoid risk save life full report url author user jennifer smith timothy hallett url,0,1
129,transparency leader vital crisis we must access data make informed decision behavior change az resident access data model projection url url,0,1
130,there one nz receiving hospital level care co vid number yesterday laboratory completed number test bringing total number test completed number the minister advised reassured number continue increase coming day,0,1
131,in user rapid response team working n felt p strengthen community testing co vid number lg a the team provides support newly reactivated lga walk in testing site increased testing capacity access awareness co vid number grassroot level url,0,1
132,of new recovered case number reported five state viz maharashtra tamil nadu andhra pradesh karnataka uttar pradesh maharashtra alone contributed number number andhra pradesh contributed number number new recovery url,0,1
133,claim india began screening passenger co vid number affected country single case pm modi fact the govt mandated universal screening internatl flight march number number case detected across number indian state url,1,0
134,say coronavirus repeat a military bioweapon developed china army repeat,1,0
135,in indore india police doctor injecting coronavirus positive blood muslim,1,0
136,photo vaccine developed u s scientist co vid number,1,0
137,a video clip show doctor couple died treating number co vid number patient,1,0
138,number death reported bringing total dataset number this include number probable co vid number death reported nyc new york state were working separate accounting lab confirmed probable death state so url,0,1
139,youth sport organization a resume activity planned player visitor coach get sick co vid number cdc offer tip protect health safety staff player visitor involved youth sport tip here url url,0,1
140,not one politician died virus,1,0
141,india fight corona health ministry review co vid management response number district across number state exhibiting high caseload fatality,0,1
142,where are they now co vid number url,1,0
143,leaked report say there are too many human on the planet url global warming coronavirus conspiracy,1,0
144,another current known data problem washington state after rock solid reporting early part outbreak system got gummed seen new update state day,0,1
145,india spraying pesticide night prevent co vid number,1,0
146,home ministry ha declared that posting on coronavirus ha been declared a punishable offense,1,0
147,if refuse social distance sign pledge bypass care get ill coronavirus url via user url,0,1
148,rt user do not use bleach solution disinfecting product food currently case co vid number identifi e,0,1
149,free coronavirus test kit available to all url health coronavirus,1,0
150,user dispels doubt raised failure one vaccine clinical trial say trial continuing expert committee reappraisal no significant mutation sars cov number india icmr actively exploring saliva based test co vid number user,0,1
151,thirty nine gps specialist written bmj calling action long co vid url url,0,1
152,scientist expressing cautious optimism co vid number vaccine ready go late spring number although it s unclear much longer would take distribute vaccine widely url,1,0
153,if want context hospitalization data situation check weekly roundup tackled transitional period producing erratic artificially deflated hospitalization data url url,0,1
154,coronavirus update co vid number testing status update user stated number sample tested up to september number number number sample tested september number number stay safe india win url,0,1
155,video show first infected patient co vid number dhanbad hospital,1,0
156,say daniel radcliffe coronavirus,1,0
157,a today total number active co vid number case india number sample tested today till number pm co vid number lakshadweep reported single case till date arunachal pradesh mizoram reported co vid number case last number hr url,0,1
158,trump and coronavirus may end november number rd url dr anthony fauci smallpox,1,0
159,coronavirus this scientist believe coronavirus affect body url,1,0
160,former rep trey gowdy wrote essay past social medium claiming co vid number pandemic planned help democrat number election,1,0
161,health equity everyone opportunity healthy possible we must address longstanding inequity put racial ethnic group higher risk co vid number learn cdc s co vid number health equity strategy url url,0,1
162,product page user offering toxic chlorine dioxide industrial bleach often sold name miracle mineral solution co vid number cure reported user guardian url,1,0
163,the recent date confirmed data north carolina may number th the infection rate number meaning co vid case slowly increasing,0,1
164,it possible vaccine could available end year csa patrick vallance say vaccine could available small amount certain group adding were more likely see vaccine first half next year url url,0,1
165,in phase number dos allocated proportionally participating country simultaneously reduce overall risk in phase number consideration given country relation threat vulnerability user co vid number url,0,1
166,great news carona virus vaccine ready able cure patient within number hour injection hat u scientist right trump announced roche medical company launch vaccine next sunday million dos ready repeat note this message requires confirmation,1,0
167,state reported number death the trend good url,0,1
168,number new case co vid number number lagos number oyo number fct number niger number borno number jig awa number kaduna number anambra number edo number river number nasarawa number bauchi number benue number zamfara number case co vid number nigeria discharge smile number death number url,0,1
169,twofold increase mortality among coronavirus patient hypertension url,0,1
170,a july number in last number day number state reported number new co vid number case wear cloth face covering keep number ft others wash hand often interested data state see co vid data tracker url url,0,1
171,repeat co vid never going away this beach today raleigh north carolina repeat,1,0
172,pope francis dying of the coronavirus url,1,0
173,number new case co vid number nigeria lagos number plateau number oyo number fct number edo number kaduna number enugu number ogun number kano number kwara number cross river number on do number river number ekiti number imo number borno number number confirmed number discharged number death url,0,1
174,people offering prayer group rooftop despite lockdown that case coronavirus india continuously increasing,1,0
175,the access co vid number tool act accelerator aim provide equitable access tool tackle form co vid number disease from asymptomatic mild severe disease url,0,1
176,the positive rate fallen lot since early april back number now like number number number a lot change driven rising test plummeting positive rate northeast url,0,1
177,rt user the uk government announced number million support prof robin shattock s user team s phase two trial a,0,1
178,there number open vacancy nurse doctor health professional work temporary hospital so paulo used treat co vid number case,1,0
179,a photo funeral recently deceased sri lankan politician arumugam t honda man shared thousand time multiple facebook post the post claim image show one t honda man s daughter violated sri lanka s mandatory coronavirus quarantine policy traveler attending ceremony shortly returning country overseas,1,0
180,a morning identified number close contact tokoroa health professional currently hospital co vid number number already contacted we expect contact remainder today,0,1
181,the last place free co vid number pacific here s who helped country region step effort prepare arrival co vid number url impact url,0,1
182,new co vid view report hospitalization rate death co vid number increasing indicator track hospitalization death usually lag behind indicator track illness url url,0,1
183,while true coronavirus cause sore throat gargling salt warm water may make feel better direct effect virus co vid number fara care,1,0
184,a dna vaccine shown work rhesus monkey exposing vaccinated monkey co vid le virus lung read study user url,0,1
185,number important strategy dealing doomsday scenario co vid flu measles url url,0,1
186,older child seem spread co vid like adult url url,0,1
187,we re grateful support user providing number ambulance nigeria s co vid number response these used port health service user kano edo oyo state emergency operation centre expand current capacity transportation case url,0,1
188,sadly number people hospital today around country co vid number two ward north shore hospital two icu one north shore one waikato hospital we hoping everyone s full speedy recovery,0,1
189,indian politician udd hav thackeray asked christian pray jesus stop co vid number,1,0
190,the average number case nationwide flattened past week breaking downward trend seen beginning august url,0,1
191,there number positive coronavirus case nagpur along three doctor one ventilator,1,0
192,the latest cdc co vid view report show minority population like american indian black hispanic continue hospitalized co vid number nearly number time rate non hispanic white counterpart learn more url url,0,1
193,user kia or a only new zealand resident citizen and child partner permitted enter new zealand,0,1
194,india fight corona test track treat effective implementation centre state ut ensured india one lowest co vid number case death per million population compared several country url,0,1
195,india fight corona union health ministry urge state ut ensure restriction imposed movement medical oxygen state url user user user user user user user user,0,1
196,study co vid likely mix seattle s early number flu season url,0,1
197,a photo show people infected coronavirus lying sidewalk china,1,0
198,india fight corona active case number total co vid number case recovery number lakh exceed active case number lakh url url,0,1
199,state like new york illinois california vocal demand funding bail pension system failing long co vid number outbreak program are n repeat t related crisis,1,0
200,news anti vax xers close deciding medical condition pretend caused coronavirus vaccine url url,1,0
201,coronavirus update total co vid number case india a september number number number cured discharged migrated number number active case number number death number smile total co vid number confirmed case cured discharged migrated active case death url,0,1
202,number new case co vid number lagos number fct number bauchi number river number oyo number kaduna number gombe number edo number ogun number jig awa number enugu number kano number osun number on do number number case co vid number nigeria discharge smile number death number url,0,1
203,florida s number today include large number backlogged test state said url,0,1
204,local lockdown measure imposed welsh county rhondda cynon taf rise coronavirus case url,0,1
205,who announces algeria outside danger regarding co vid number,1,0
206,state reported nearly number k case today number day may smile the positive rate highest since late may url,0,1
207,the vast majority student st dominic s casual contact tested precaution if student staff well symptom co vid number need self isolate waiting test result,0,1
208,prime minister boris johnson say government very shortly setting the priority group think co vid test follow live update pm face question liaison committee url url,0,1
209,antibody common cold produce positive co vid number test false positive result co vid number antibody testing behind co vid number case reported u s,1,0
210,child number year represent number reported co vid number case death compared age group usually mild disease url url,0,1
211,man beaten de oria india lockdown time,1,0
212,our daily update published we ve tracked number million test number k yesterday note track test state report for detail see url url,0,1
213,coronavirus is not like a broken leg url,1,0
214,photo show mass fleeing myanmar thailand due coronavirus pandemic,1,0
215,georgia particularly worrisome the state seen large rise reported death despite rising infection steep hospitalization curve today state reported second highest death since beginning pandemic highest number since april number url,0,1
216,new finding confirm earlier research showing major increase physician employment hospital past decade url,0,1
217,ireland entire cabinet restrict movement health minister felt unwell tested coronavirus reported url,0,1
218,in backdrop lockdown video wild animal taking road surfacing internet among set picture herd deer round social medium claiming picture lake club chandigarh,1,0
219,the reported death toll today number last friday only two state reported number death today ny pa url,0,1
220,one optimistic point number state left side chart finding positive case even theyre lot testing this suggests mitigation strategy working url,0,1
221,user user thank extremely insightful is one two trusted website follow provide good summary update co vid i follow user really good job recent video touted importance vitamin d elderberry among thing,1,0
222,florida broke new york s number day average record case per million population today testing capacity obviously much much greater spring however it s still stunning see record fall url,0,1
223,a outbreak continues many people united state point time either year next exposed co vid number it s likely many become sick people likely mild illness url,0,1
224,sir ganga ram hospital directed patient stay home n treat urself implies delhi govt miserably failed administrative responsibility providing health care n left delhi te fate must sacked n lg take charge u agree,1,0
225,one previously reported case considered recovered our total number active case number of number imported case miq facility number community case,0,1
226,joe diffie repeat s death labeled repeat a co vid number death wa n repeat t repeat,1,0
227,modeling assumption we assume baseline general hospital occupancy rate number across hospital accounting hospitalized non co vid patient we assume hospital increase available bed co vid patient roughly double number,0,1
228,more number number bame doctor uk still given access potentially lifesaving co vid number risk assessment url,0,1
229,our daily update published state reported number k test number k case number death url,0,1
230,a doctor named leslie chow discovered coronavirus died contact coronavirus patient,1,0
231,though number new case remained relatively flat regional data show were steady state here new case region scaled population url,0,1
232,yesterday lab processed number test our total number test completed date number there number people linked community cluster auckland quarantine facility this includes number people tested positive household contact,0,1
233,coronavirus hospital urgent plea people go very busy a e co vid number test url,0,1
234,rightmove said activity aided current stamp duty holiday driven high demand garden space work home co vid number disrupts day today life url,0,1
235,say there no co vid number virus,1,0
236,anyone flight facility time case treated close contact they tested isolated negative result received,0,1
237,user we don t state provide negative result frequency comprehensiveness at point i don t think positive rate important indicator user,0,1
238,number new case co vid number nigeria lagos number fct number plateau number kaduna number ogun number kwara number ebony i number ekiti number oyo number borno number edo number kano number nasarawa number osun number taraba number gombe number bauchi number number confirmed number discharged number death url,0,1
239,a per tamilnadu govt total number sample tested co vid number number sep number co vid number co vid co vid number co vid number co vid number india corona coronavirus coronavirus india coronavirus pandemic coronavirus update co vid update corona update corona update india url,0,1
240,trump s effort blame obama sluggish coronavirus testing,1,0
241,first there ll change track pending number state total go le erratically second we ll tracking number state broaden grading criterion third we ll making major change website,0,1
242,india fight corona india climb another historic peak number lakh test more number lakh test done last number hour user user user user user user user user user user,0,1
243,the state reported number newly discovered case today last week low almost exact match last tuesday new case number url,0,1
244,public broadcast rtv e published map coronavirus case spain fact map penis average size different region,1,0
245,allegheny county pa department emergency service using diverse source response planning including co vid act now url url,0,1
246,in aaj tak news report chinese prime minister said reading quran offering namaz cure co vid number,1,0
247,a aug number national forecast suggest new weekly co vid number death may decrease coming week number number new death week ending sept number forecast predict number k number k total co vid number death u sept number more url url,0,1
248,developer bank tell government theyve already spent ireland share of e u number trillion co vid recovery fund url,1,0
249,user what promise viable vaccine developed co vid number virus so think rehire judith miko v it living scientific encyclopedia viral research she involved scientific research permitted,1,0
250,nancy pelosi suggests that the coronavirus c number be renamed the c number honor president trump url donald trump,1,0
251,rt user how child wear mask safely child must clean hand maintain safe distance stop spread,0,1
252,maral ago test positive for coronavirus url donald trump coronavirus mike penny maral ago kayleigh mc en,1,0
253,co vid number vaccine oxford university success number people cured,1,0
254,the confirmation earlier today second death linked co vid number last two day mean number co vid number related death new zealand number,0,1
255,this photo show french nurse holding sign denounce police violence,1,0
256,our daily update published state reported number k new case co vid number solid number k test number co vid number death today our number day average death number url,0,1
257,who warns consuming cabbage prevent co vid number,1,0
258,coronavirus update total co vid number case india a september number number number cured discharged migrated number number active case number number death number total co vid number confirmed case cured discharged migrated active case death url,0,1
259,the weekend lag effect pronounced death reporting for example last week ca reported number death monday number tues az reported number death mon number tues today az reported number death ca number all data output complicated human process url,0,1
260,most know strong weekend effect hit sunday monday especially reporting co vid number death sunday highlighted red below url,0,1
261,with number new infection maharashtra record highest single day spike state far starting number pm tomorrow manipur go complete lockdown number day bhopal madhya pradesh impose citywide lockdown july number august number co vid number coronavirus fact url,1,0
262,louisiana posted record case count back to back reporting saturday one positive thre a smile compare hospitalization case chart clear were diagnosing infection on number number la first peak number test today number url,0,1
263,a what sapp forward attributed cnn claim dr li wen liang whistleblower chinese government propaganda co vid number documented research report according report chemical like methyl xanthine theobromine theophylline stimulate compound ward virus human body least average performing immune system,1,0
264,were debunking misinformation coronavirus why because hoax travel fast number cause growing outbreak need clarification url url,1,0
265,more detail one user s sharpest observer user user s live stream url url,0,1
266,a person released quarantine isolation pose risk spreading co vid number people share fact coronavirus disease number url url,0,1
267,the pandemic opened door physician online learning physician new medscape report find url,0,1
268,young people have greater chance killed hpv vaccine co vid number,1,0
269,there pandemic,1,0
270,a growing number state city requiring face covering anyone leaving home learn best material make face mask properly wear care them url,0,1
